name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
GUAN Yingying,GUAN Y,Female,1995-09-13,"SHULAN, JILIN",People's Republic of China,People's Republic of China,CHN,Ice Hockey,IHO,"JILIN, JILIN",People's Republic of China,1.67/5'5'',../../../en/results/ice-hockey/athlete-profile-n1057861-yingying-guan.htm
GUARISE Matteo,GUARISE M,Male,1988-09-15,RIMINI,Italy,Italy,ITA,Figure Skating,FSK,RIMINI,Italy,,../../../en/results/figure-skating/athlete-profile-n1035051-matteo-guarise.htm
GUBANOVA Anastasiia,GUBANOVA A,Female,2002-12-02,TOGLIATTI,Russian Federation,Georgia,GEO,Figure Skating,FSK,ST. PETERSBURG,Russian Federation,,../../../en/results/figure-skating/athlete-profile-n1050976-anastasiia-gubanova.htm
GUBSER Kim,GUBSER K,Male,2000-05-17,JAKOBSHORN,Switzerland,Switzerland,SUI,Freestyle Skiing,FRS,DAVOS,Switzerland,,../../../en/results/freestyle-skiing/athlete-profile-n1048398-kim-gubser.htm
GUDLEVSKIS Kristers,GUDLEVSKIS K,Male,1992-07-31,AIZKRAUKLE,Latvia,Latvia,LAT,Ice Hockey,IHO,GAVLE,Sweden,1.92/6'3'',../../../en/results/ice-hockey/athlete-profile-n1037282-kristers-gudlevskis.htm
GUDNADOTTIR Kristrun,GUDNADOTTIR K,Female,1997-10-13,AKUREYRI,Iceland,Iceland,ISL,Cross-Country Skiing,CCS,LILLEHAMMER,Norway,,../../../en/results/cross-country-skiing/athlete-profile-n1059100-kristrun-gudnadottir.htm
GUERILLOT Vanina,GUERILLOT V,Female,2002-07-03,GRENOBLE,France,Portugal,POR,Alpine Skiing,ALP,BOZEL,France,,../../../en/results/alpine-skiing/athlete-profile-n1056760-vanina-guerillot.htm
GUEST Charlie,GUEST C,Female,1993-12-30,EDINBURGH,Great Britain,Great Britain,GBR,Alpine Skiing,ALP,PERTH,Great Britain,,../../../en/results/alpine-skiing/athlete-profile-n1045688-charlie-guest.htm
GUIGNARD Charlene,GUIGNARD C,Female,1989-08-12,BREST,France,Italy,ITA,Figure Skating,FSK,MILAN,Italy,,../../../en/results/figure-skating/athlete-profile-n1035071-charlene-guignard.htm
GUIGONNAT Antonin,GUIGONNAT A,Male,1991-07-02,AMBILLY,France,France,FRA,Biathlon,BTH,LES CONTAMINES-MONTJOIE,France,,../../../en/results/biathlon/athlete-profile-n1035793-antonin-guigonnat.htm
GULINI Faye,GULINI F,Female,1992-03-24,"SALT LAKE CITY, UT",,United States of America,USA,Snowboard,SBD,"PARK CITY, UT",United States of America,,../../../en/results/snowboard/athlete-profile-n1044708-faye-gulini.htm
GULLI Anita,GULLI A,Female,1998-06-26,TURIN,Italy,Italy,ITA,Alpine Skiing,ALP,TURIN,Italy,,../../../en/results/alpine-skiing/athlete-profile-n1015119-anita-gulli.htm
GUO Dan,GUO D,Female,1990-12-06,BEIJING,People's Republic of China,People's Republic of China,CHN,Speed Skating,SSK,SUZHOU,People's Republic of China,1.60/5'2'',../../../en/results/speed-skating/athlete-profile-n1058376-dan-guo.htm
GUO Jianing,GUO J,Male,2000-04-26,,People's Republic of China,People's Republic of China,CHN,Ice Hockey,IHO,,People's Republic of China,1.77/5'9'',../../../en/results/ice-hockey/athlete-profile-n1057837-jianing-guo.htm
GUO Yuhao,GUO Y,Male,2000-06-18,,People's Republic of China,People's Republic of China,CHN,Nordic Combined,NCB,,People's Republic of China,,../../../en/results/nordic-combined/athlete-profile-n8590006-yuhao-guo.htm
GUSELI Valentino,GUSELI V,Male,2005-04-01,"CANBERRA, ACT",Australia,Australia,AUS,Snowboard,SBD,"DALMENY, NSW",Australia,,../../../en/results/snowboard/athlete-profile-n1055214-valentino-guseli.htm
GUSEV Nikita,GUSEV N,Male,1992-07-08,MOSCOW,Russian Federation,ROC,ROC,Ice Hockey,IHO,ST. PETERSBURG,Russian Federation,1.75/5'8'',../../../en/results/ice-hockey/athlete-profile-n1056345-nikita-gusev.htm
GUSHUE Brad,GUSHUE B,Male,1980-06-16,"ST. JOHN'S, NL",Canada,Canada,CAN,Curling,CUR,ST. JOHN'S,Canada,,../../../en/results/curling/athlete-profile-n1054753-brad-gushue.htm
GUSTAFSON Jonathan,GUSTAFSON J,Male,1997-03-05,,United States of America,United States of America,USA,Luge,LUG,"LAKE PLACID, NY",United States of America,,../../../en/results/luge/athlete-profile-n1044539-jonathan-gustafson.htm
GUSTAFSSON Erik,GUSTAFSSON E,Male,1988-12-15,SUNDSVALL,Sweden,Sweden,SWE,Ice Hockey,IHO,LULEA,Sweden,1.80/5'10'',../../../en/results/ice-hockey/athlete-profile-n1048720-erik-gustafsson.htm
GUSTIK Maksim,GUSTIK M,Male,1988-05-01,,Russian Federation,Belarus,BLR,Freestyle Skiing,FRS,,Belarus,,../../../en/results/freestyle-skiing/athlete-profile-n1000076-maksim-gustik.htm
GUT-BEHRAMI Lara,GUT-BEHRAMI L,Female,1991-04-27,LUGANO,Switzerland,Switzerland,SUI,Alpine Skiing,ALP,UDINE,Italy,,../../../en/results/alpine-skiing/athlete-profile-n1048401-lara-gut-behrami.htm
GUTMANN Lara Naki,GUTMANN LN,Female,2002-11-06,TRENTO,Italy,Italy,ITA,Figure Skating,FSK,ROVERETO,Italy,,../../../en/results/figure-skating/athlete-profile-n1035052-lara-naki-gutmann.htm
GUZIK Grzegorz,GUZIK G,Male,1991-08-20,SUCHA BESKIDZKA,Poland,Poland,POL,Biathlon,BTH,JUSZCZYN,Poland,,../../../en/results/biathlon/athlete-profile-n1034941-grzegorz-guzik.htm
GYGAX Nicolas,GYGAX N,Male,1996-02-15,ZURICH,Switzerland,Switzerland,SUI,Freestyle Skiing,FRS,ISLISBERG,Switzerland,,../../../en/results/freestyle-skiing/athlete-profile-n1048402-nicolas-gygax.htm
HAAS Andreas,HAAS A,Male,1996-12-23,,,Switzerland,SUI,Bobsleigh,BOB,MENZNAU,Switzerland,,../../../en/results/bobsleigh/athlete-profile-n1048499-andreas-haas.htm
HAAS Gaetan,HAAS G,Male,1992-01-31,BIEL,Switzerland,Switzerland,SUI,Ice Hockey,IHO,BIEL,Switzerland,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1048501-gaetan-haas.htm
HAASER Raphael,HAASER R,Male,1997-09-17,,Austria,Austria,AUT,Alpine Skiing,ALP,MAURACH,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1005379-raphael-haaser.htm
HABLUETZEL David,HABLUETZEL D,Male,1996-04-24,ZURICH,Switzerland,Switzerland,SUI,Snowboard,SBD,LAAX,Switzerland,,../../../en/results/snowboard/athlete-profile-n1048503-david-habluetzel.htm
HACHISUKA Asuka,HACHISUKA A,Female,1992-09-26,TSUKUDE (SHINSHIRO),Japan,Japan,JPN,Biathlon,BTH,SAPPORO,Japan,,../../../en/results/biathlon/athlete-profile-n1040979-asuka-hachisuka.htm
HACKETT Margaux,HACKETT M,Female,1999-06-02,ANNECY,France,New Zealand,NZL,Freestyle Skiing,FRS,WANAKA,New Zealand,,../../../en/results/freestyle-skiing/athlete-profile-n1055031-margaux-hackett.htm
HADZIC Tena,HADZIC T,Female,2004-07-13,ZAGREB,Croatia,Croatia,CRO,Cross-Country Skiing,CCS,ZAGREB,Croatia,,../../../en/results/cross-country-skiing/athlete-profile-n1036083-tena-hadzic.htm
HAECKI Lena,HAECKI L,Female,1995-07-01,ENGELBERG,Switzerland,Switzerland,SUI,Biathlon,BTH,RUHPOLDING,Germany,,../../../en/results/biathlon/athlete-profile-n1048505-lena-haecki.htm
HAEGGSTROEM Johan,HAEGGSTROEM J,Male,1992-03-10,"LILLA LAPPTRASK, KALIX",Sweden,Sweden,SWE,Cross-Country Skiing,CCS,OSTERSUND,Sweden,,../../../en/results/cross-country-skiing/athlete-profile-n1044326-johan-haeggstroem.htm
HAEHLEN Joana,HAEHLEN J,Female,1992-01-23,BELP,Switzerland,Switzerland,SUI,Alpine Skiing,ALP,LENK IM SIMMENTAL,Switzerland,,../../../en/results/alpine-skiing/athlete-profile-n1048506-joana-haehlen.htm
HAEMMERLE Alessandro,HAEMMERLE A,Male,1993-07-30,FRAUENFELD,Switzerland,Austria,AUT,Snowboard,SBD,BLUDENZ,Austria,,../../../en/results/snowboard/athlete-profile-n1005465-alessandro-haemmerle.htm
HAFER Christoph,HAFER C,Male,1992-04-14,BAD AIBLING,Germany,Germany,GER,Bobsleigh,BOB,BAD FEILNBACH,Germany,,../../../en/results/bobsleigh/athlete-profile-n1014489-christoph-hafer.htm
HAGA Ragnhild,HAGA R,Female,1991-02-12,NANNESTAD,Norway,Norway,NOR,Cross-Country Skiing,CCS,OSLO,Norway,,../../../en/results/cross-country-skiing/athlete-profile-n1092804-ragnhild-haga.htm
HAGER Patrick,HAGER P,Male,1988-09-08,STUTTGART,Federal Republic of Germany,Germany,GER,Ice Hockey,IHO,MUNICH,Germany,1.78/5'10'',../../../en/results/ice-hockey/athlete-profile-n1001169-patrick-hager.htm
HAKALA Sanni,HAKALA S,Female,1997-10-31,JYVAESKYLAE,Finland,Finland,FIN,Ice Hockey,IHO,,,1.54/5'0'',../../../en/results/ice-hockey/athlete-profile-n1013002-sanni-hakala.htm
HAKOLA Ristomatti,HAKOLA R,Male,1991-04-15,KANKAANPAA,Finland,Finland,FIN,Cross-Country Skiing,CCS,KAUNIAINEN,Finland,,../../../en/results/cross-country-skiing/athlete-profile-n1044068-ristomatti-hakola.htm
HALFVARSSON Calle,HALFVARSSON C,Male,1989-03-17,SAGMYRA,Sweden,Sweden,SWE,Cross-Country Skiing,CCS,SAGMYRA,Sweden,,../../../en/results/cross-country-skiing/athlete-profile-n1044328-calle-halfvarsson.htm
HALL Alexander,HALL A,Male,1998-09-21,"FAIRBANKS, AK",United States of America,United States of America,USA,Freestyle Skiing,FRS,"SALT LAKE CITY, UT",United States of America,,../../../en/results/freestyle-skiing/athlete-profile-n1044664-alexander-hall.htm
HALL Brad,HALL B,Male,1990-11-16,CARDIFF,Great Britain,Great Britain,GBR,Bobsleigh,BOB,BATH,Great Britain,,../../../en/results/bobsleigh/athlete-profile-n1044564-brad-hall.htm
HALSE Mathilde,HALSE M,Female,1999-05-02,NUUK,Denmark,Denmark,DEN,Curling,CUR,COPENHAGEN,Denmark,,../../../en/results/curling/athlete-profile-n1013766-mathilde-halse.htm
HALVORSEN Hannah,HALVORSEN H,Female,1998-02-19,"TRUCKEE, CA",United States of America,United States of America,USA,Cross-Country Skiing,CCS,"ANCHORAGE, AK",United States of America,,../../../en/results/cross-country-skiing/athlete-profile-n1041355-hannah-halvorsen.htm
HAMADA Kaito,HAMADA K,Male,1999-10-14,SAPPORO,Japan,Japan,JPN,Snowboard,SBD,SAPPORO,Japan,,../../../en/results/snowboard/athlete-profile-n1043808-kaito-hamada.htm
HAMELIN Charles,HAMELIN C,Male,1984-04-14,"LEVIS, QC",Canada,Canada,CAN,Short Track Speed Skating,STK,"MONTREAL, QC",Canada,,../../../en/results/short-track-speed-skating/athlete-profile-n1038570-charles-hamelin.htm
HAMILL Marin,HAMILL M,Female,2001-04-05,"SALT LAKE CITY, UT",United States of America,United States of America,USA,Freestyle Skiing,FRS,"SALT LAKE CITY, UT",United States of America,,../../../en/results/freestyle-skiing/athlete-profile-n1044761-marin-hamill.htm
HAMILTON Becca,HAMILTON B,Female,1990-07-12,"MADISON, WI",United States of America,United States of America,USA,Curling,CUR,"MCFARLAND, WI",United States of America,,../../../en/results/curling/athlete-profile-n1034636-becca-hamilton.htm
HAMILTON Matt,HAMILTON M,Male,1989-02-19,"MADISON, WI",United States of America,United States of America,USA,Curling,CUR,"MCFARLAND, WI",United States of America,,../../../en/results/curling/athlete-profile-n1034630-matt-hamilton.htm
HAN Cong,HAN C,M,,,,People's Republic of China,CHN,,FSK,,,,../../../en/results/figure-skating/athlete-profile-n1058065-cong-han.htm
HAN Dasom,HAN D.S.,Female,1994-10-22,GANGWON,Korea,Republic of Korea,KOR,Cross-Country Skiing,CCS,GANGWON,Republic of Korea,,../../../en/results/cross-country-skiing/athlete-profile-n1036977-dasom-han.htm
HAN Mei,HAN M,Female,1998-01-27,HOHHOT,People's Republic of China,People's Republic of China,CHN,Speed Skating,SSK,,People's Republic of China,1.66/5'5'',../../../en/results/speed-skating/athlete-profile-n1058374-mei-han.htm
HAN Pengfei,HAN P,Male,1989-06-29,,People's Republic of China,People's Republic of China,CHN,Ice Hockey,IHO,,People's Republic of China,1.81/5'11'',../../../en/results/ice-hockey/athlete-profile-n1057825-pengfei-han.htm
HAN Yu,HAN Y,Female,2000-10-06,BEIJING,People's Republic of China,People's Republic of China,CHN,Curling,CUR,BEIJING,People's Republic of China,,../../../en/results/curling/athlete-profile-n1057638-yu-han.htm
HAN Yutong,HAN Y,Female,1994-09-16,YANBIAN,People's Republic of China,People's Republic of China,CHN,Short Track Speed Skating,STK,BEIJING,People's Republic of China,,../../../en/results/short-track-speed-skating/athlete-profile-n1057885-yutong-han.htm
HANDEI Oleh,HANDEI O,Male,1999-03-05,KYIV,Ukraine,Ukraine,UKR,Short Track Speed Skating,STK,KYIV,Ukraine,,../../../en/results/short-track-speed-skating/athlete-profile-n1042092-oleh-handei.htm
HANYU Yuzuru,HANYU Y,Male,1994-12-07,SENDAI,Japan,Japan,JPN,Figure Skating,FSK,SENDAI,Japan,,../../../en/results/figure-skating/athlete-profile-n1038834-yuzuru-hanyu.htm
HARA Daichi,HARA D,Male,1997-03-04,TOKYO,Japan,Japan,JPN,Freestyle Skiing,FRS,TOKYO,Japan,,../../../en/results/freestyle-skiing/athlete-profile-n1037899-daichi-hara.htm
HARALAMBIE Daniela,HARALAMBIE D,Female,1997-08-14,BRASOV,Romania,Romania,ROU,Ski Jumping,SJP,BRASOV,Romania,,../../../en/results/ski-jumping/athlete-profile-n1031275-daniela-haralambie.htm
HARATYK Mateusz,HARATYK M,Male,1998-05-27,JAWORZYNKA,Poland,Poland,POL,Cross-Country Skiing,CCS,KATOWICE,Poland,,../../../en/results/cross-country-skiing/athlete-profile-n1032085-mateusz-haratyk.htm
HARDIE Grant,HARDIE G,Male,1992-03-27,DUMFRIES,Great Britain,Great Britain,GBR,Curling,CUR,GLASGOW,Great Britain,,../../../en/results/curling/athlete-profile-n1044151-grant-hardie.htm
HARJULA Tuomas,HARJULA T,Male,1998-06-08,TUUSULA,Finland,Finland,FIN,Biathlon,BTH,VUOKATTI,Finland,,../../../en/results/biathlon/athlete-profile-n1013003-tuomas-harjula.htm
HARLAUT Henrik,HARLAUT H,Male,1991-08-14,STOCKHOLM,Sweden,Sweden,SWE,Freestyle Skiing,FRS,ANDORRA,Andorra,,../../../en/results/freestyle-skiing/athlete-profile-n1037400-henrik-harlaut.htm
HARLE Teal,HARLE T,Male,1996-10-05,"CAMPBELL RIVER, BC",Canada,Canada,CAN,Freestyle Skiing,FRS,"WHISTLER, BC",Canada,,../../../en/results/freestyle-skiing/athlete-profile-n1037612-teal-harle.htm
HARMON Savannah,HARMON S,Female,1995-10-27,"DOWNERS GROVE, IL",United States of America,United States of America,USA,Ice Hockey,IHO,"DOWNERS GROVE, IL",United States of America,1.60/5'2'',../../../en/results/ice-hockey/athlete-profile-n1037565-savannah-harmon.htm
HARRIGAN Abi,HARRIGAN A,Female,2002-05-06,,Australia,Australia,AUS,Freestyle Skiing,FRS,JINDABYNE,Australia,,../../../en/results/freestyle-skiing/athlete-profile-n1046154-abi-harrigan.htm
HARRINGTON Ben,HARRINGTON B,Male,2001-10-13,DUNIDEN,New Zealand,New Zealand,NZL,Freestyle Skiing,FRS,WANAKA,New Zealand,,../../../en/results/freestyle-skiing/athlete-profile-n1055032-ben-harrington.htm
HARTIKAINEN Teemu,HARTIKAINEN T,Male,1990-05-03,KUOPIO,Finland,Finland,FIN,Ice Hockey,IHO,UFA,Russian Federation,1.86/6'1'',../../../en/results/ice-hockey/athlete-profile-n1013004-teemu-hartikainen.htm
HARTWEG Niklas,HARTWEG N,Male,2000-03-01,,Germany,Switzerland,SUI,Biathlon,BTH,LENZERHEIDE,Switzerland,,../../../en/results/biathlon/athlete-profile-n1048514-niklas-hartweg.htm
HARUTYUNYAN Harutyun,HARUTYUNYAN H,Male,2000-04-05,,,Armenia,ARM,Alpine Skiing,ALP,,,,../../../en/results/alpine-skiing/athlete-profile-n1045632-harutyun-harutyunyan.htm
HARVEY Caroline,HARVEY C,Female,2002-10-14,"PELHAM, NH",United States of America,United States of America,USA,Ice Hockey,IHO,"SALEM, NH",United States of America,1.70/5'6'',../../../en/results/ice-hockey/athlete-profile-n1037549-caroline-harvey.htm
HASE Minerva Fabienne,HASE MF,Female,1999-06-10,BERLIN,Germany,Germany,GER,Figure Skating,FSK,BERLIN,Germany,,../../../en/results/figure-skating/athlete-profile-n1000873-minerva-fabienne-hase.htm
HASLER Melanie,HASLER M,Female,1998-05-16,,,Switzerland,SUI,Bobsleigh,BOB,BERIKON,Switzerland,,../../../en/results/bobsleigh/athlete-profile-n1048518-melanie-hasler.htm
HASSELBORG Anna,HASSELBORG A,Female,1989-05-05,STOCKHOLM,Sweden,Sweden,SWE,Curling,CUR,STOCKHOLM,Sweden,,../../../en/results/curling/athlete-profile-n1035385-anna-hasselborg.htm
HAUGAN Timon,HAUGAN T,Male,1996-12-27,STOREN,Norway,Norway,NOR,Alpine Skiing,ALP,LORENSKOG,Norway,,../../../en/results/alpine-skiing/athlete-profile-n1031302-timon-haugan.htm
HAUGEN Sofie Karoline,HAUGEN SK,Female,1995-04-22,TOENSBERG,Norway,Norway,NOR,Speed Skating,SSK,SANDEFJORD,Norway,1.69/5'6'',../../../en/results/speed-skating/athlete-profile-n1032341-sofie-karoline-haugen.htm
HAUSER Lisa Theresa,HAUSER LT,Female,1993-12-16,KITZBUEHEL,Austria,Austria,AUT,Biathlon,BTH,REITH BEI KITZBUEHEL,Austria,,../../../en/results/biathlon/athlete-profile-n1005677-lisa-theresa-hauser.htm
HAUTERVILLE Dorian,HAUTERVILLE D,Male,1990-04-27,LYON,France,France,FRA,Bobsleigh,BOB,LYON,France,,../../../en/results/bobsleigh/athlete-profile-n1034737-dorian-hauterville.htm
HAWAYEK Kaitlin,HAWAYEK K,Female,1996-11-04,"BUFFALO, NY",United States of America,United States of America,USA,Figure Skating,FSK,"EAST AURORA, NY",United States of America,,../../../en/results/figure-skating/athlete-profile-n1035152-kaitlin-hawayek.htm
HAWKRIGG Jennifer,HAWKRIGG J,Female,1996-08-28,"TORONTO, ON",Canada,Canada,CAN,Snowboard,SBD,"TORONTO, ON",Canada,,../../../en/results/snowboard/athlete-profile-n1045852-jennifer-hawkrigg.htm
HE Binghan,HE B,Male,2003-08-26,"CHANGCHUN, JILIN",People's Republic of China,People's Republic of China,CHN,Freestyle Skiing,FRS,CHANGCHUN,People's Republic of China,,../../../en/results/freestyle-skiing/athlete-profile-n1058761-binghan-he.htm
HE Jinbo,HE J,Male,2005-01-17,,People's Republic of China,People's Republic of China,CHN,Freestyle Skiing,FRS,,People's Republic of China,,../../../en/results/freestyle-skiing/athlete-profile-n1058292-jinbo-he.htm
HE Xin,HE X,Female,1996-07-24,"HARBIN, HEILONGJIANG",People's Republic of China,People's Republic of China,CHN,Ice Hockey,IHO,"HARBIN, HEILONGJIANG",People's Republic of China,1.68/5'6'',../../../en/results/ice-hockey/athlete-profile-n1057870-xin-he.htm
HECTOR Sara,HECTOR S,Female,1992-09-04,SANDVIKEN,Sweden,Sweden,SWE,Alpine Skiing,ALP,DUVED,Sweden,,../../../en/results/alpine-skiing/athlete-profile-n1054355-sara-hector.htm
HEDIGER Jovian,HEDIGER J,Male,1990-12-17,AIGLE,Switzerland,Switzerland,SUI,Cross-Country Skiing,CCS,BEX,Switzerland,1.77/5'9'',../../../en/results/cross-country-skiing/athlete-profile-n1048525-jovian-hediger.htm
HEDIGER Sophie,HEDIGER S,Female,1998-12-14,HORGEN,Switzerland,Switzerland,SUI,Snowboard,SBD,,Switzerland,,../../../en/results/snowboard/athlete-profile-n1048527-sophie-hediger.htm
HEINRICH Romain,HEINRICH R,Male,1990-01-30,COLMAR,France,France,FRA,Bobsleigh,BOB,GRENOBLE,France,,../../../en/results/bobsleigh/athlete-profile-n1034738-romain-heinrich.htm
HELDIN Johanna,HELDIN J,Female,1994-08-29,UPPSALA,Sweden,Sweden,SWE,Curling,CUR,UPPSALA,Sweden,,../../../en/results/curling/athlete-profile-n1035386-johanna-heldin.htm
HELLBERG Magnus,HELLBERG M,Male,1991-04-04,UPPSALA,Sweden,Sweden,SWE,Ice Hockey,IHO,SOCHI,Russian Federation,1.97/6'5'',../../../en/results/ice-hockey/athlete-profile-n1048738-magnus-hellberg.htm
HELLESON Drew,HELLESON D,Male,2001-03-26,"FARMINGTON, MN",United States of America,United States of America,USA,Ice Hockey,IHO,,,1.91/6'3'',../../../en/results/ice-hockey/athlete-profile-n1182038-drew-helleson.htm
HEMETSBERGER Daniel,HEMETSBERGER D,Male,1991-05-23,VOECKLABRUCK,Austria,Austria,AUT,Alpine Skiing,ALP,NUSSDORF AM ATTERSEE,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1005380-daniel-hemetsberger.htm
HENDRICKX Loena,HENDRICKX L,Female,1999-11-05,TURNHOUT,Belgium,Belgium,BEL,Figure Skating,FSK,ARENDONK,Belgium,,../../../en/results/figure-skating/athlete-profile-n1045296-loena-hendrickx.htm
HENNIG Katharina,HENNIG K,Female,1996-06-14,ANNABERG - BUCHHOLZ,Germany,Germany,GER,Cross-Country Skiing,CCS,SONTHOFEN,Germany,,../../../en/results/cross-country-skiing/athlete-profile-n1012795-katharina-hennig.htm
HENRICKSEN Dusty,HENRICKSEN D,Male,2003-02-02,"REDLANDS, CA",United States of America,United States of America,USA,Snowboard,SBD,"MAMMOTH LAKE, CA",United States of America,,../../../en/results/snowboard/athlete-profile-n1044699-dusty-henricksen.htm
HENSIEN Katie,HENSIEN K,Female,1999-12-01,"REDMOND, WA",United States of America,United States of America,USA,Alpine Skiing,ALP,"PARK CITY, UT",United States of America,,../../../en/results/alpine-skiing/athlete-profile-n1041221-katie-hensien.htm
HENSLEY Nicole,HENSLEY N,Female,1994-06-23,"LITTLETON, CO",United States of America,United States of America,USA,Ice Hockey,IHO,"LAKEWOOD, CO",United States of America,1.68/5'6'',../../../en/results/ice-hockey/athlete-profile-n1037564-nicole-hensley.htm
HENTGES Sam,HENTGES S,Male,1999-07-26,"NEW BRIGHTON, MINNESOTA",,United States of America,USA,Ice Hockey,IHO,"NEW BRIGHTON, MINNESOTA",United States of America,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1182013-sam-hentges.htm
HEO Andrew,HEO A,Male,2001-03-07,"WARRINGTON, PA",United States of America,United States of America,USA,Short Track Speed Skating,STK,"SALT LAKE CITY, UT",United States of America,,../../../en/results/short-track-speed-skating/athlete-profile-n1037495-andrew-heo.htm
HERASKEVYCH Vladyslav,HERASKEVYCH V,Male,1999-01-12,KYIV,Ukraine,Ukraine,UKR,Skeleton,SKN,,,,../../../en/results/skeleton/athlete-profile-n1009518-vladyslav-heraskevych.htm
HERMANN Tina,HERMANN T,Female,1992-03-05,EHRINGSHAUSEN,Germany,Germany,GER,Skeleton,SKN,BERCHTESGADEN,Germany,,../../../en/results/skeleton/athlete-profile-n1014510-tina-hermann.htm
HEROLA Ilkka,HEROLA I,Male,1995-06-22,SIILINJARVI,Finland,Finland,FIN,Nordic Combined,NCB,KUOPIO,Finland,1.77/5'9'',../../../en/results/nordic-combined/athlete-profile-n1005527-ilkka-herola.htm
HERRMANN Denise,HERRMANN D,Female,1988-12-20,SCHLEMA,German Democratic Republic,Germany,GER,Biathlon,BTH,RUHPOLDING,Germany,,../../../en/results/biathlon/athlete-profile-n1012685-denise-herrmann.htm
HERZOG Fabrice,HERZOG F,Male,1994-12-09,FRAUENFELD,Switzerland,Switzerland,SUI,Ice Hockey,IHO,ZUG,Switzerland,1.90/6'2'',../../../en/results/ice-hockey/athlete-profile-n1048534-fabrice-herzog.htm
HERZOG Vanessa,HERZOG V,Female,1995-07-04,INNSBRUCK,Austria,Austria,AUT,Speed Skating,SSK,FERLACH,Austria,1.75/5'8'',../../../en/results/speed-skating/athlete-profile-n1004382-vanessa-herzog.htm
HESSLER Pauline,HESSLER P,Female,1998-09-13,NEUHAUS AM RENNWEG,Germany,Germany,GER,Ski Jumping,SJP,LAUSCHA,Germany,,../../../en/results/ski-jumping/athlete-profile-n1012800-pauline-hessler.htm
HEWITT Dean,HEWITT D,Male,1994-11-09,"MELBOURNE, VIC",Australia,Australia,AUS,Curling,CUR,"MELBOURNE, VIC",Australia,,../../../en/results/curling/athlete-profile-n1046144-dean-hewitt.htm
HIERNICKEL Lydia,HIERNICKEL L,Female,1996-12-23,SCHWANDEN,Switzerland,Switzerland,SUI,Cross-Country Skiing,CCS,SCHWANDEN,Switzerland,,../../../en/results/cross-country-skiing/athlete-profile-n1048536-lydia-hiernickel.htm
HIETANEN Juuso,HIETANEN J,Male,1985-06-14,HAMEENLINNA,Finland,Finland,FIN,Ice Hockey,IHO,QUINTO,Switzerland,1.78/5'10'',../../../en/results/ice-hockey/athlete-profile-n1013008-juuso-hietanen.htm
HIGUCHI Wakaba,HIGUCHI W,Female,2001-01-02,TOKYO,Japan,Japan,JPN,Figure Skating,FSK,TOKYO,Japan,,../../../en/results/figure-skating/athlete-profile-n1038850-wakaba-higuchi.htm
HIIDENSALO Olli,HIIDENSALO O,M,,,,Finland,FIN,,BTH,,,,../../../en/results/biathlon/athlete-profile-n1013009-olli-hiidensalo.htm
HIIRIKOSKI Jenni,HIIRIKOSKI J,Female,1987-03-30,LEMPAALA,Finland,Finland,FIN,Ice Hockey,IHO,LULEA,Sweden,1.62/5'3'',../../../en/results/ice-hockey/athlete-profile-n1013010-jenni-hiirikoski.htm
HILL Kevin,HILL K,Male,1986-06-27,"CHILLIWACK, BC",Canada,Canada,CAN,Snowboard,SBD,"VERNON, BC",Canada,,../../../en/results/snowboard/athlete-profile-n1045869-kevin-hill.htm
HILZINGER Jessica,HILZINGER J,Female,1997-05-26,GRABS,Switzerland,Germany,GER,Alpine Skiing,ALP,OBERSTDORF,Germany,,../../../en/results/alpine-skiing/athlete-profile-n1012853-jessica-hilzinger.htm
HIMMA Martin,HIMMA M,Male,1999-08-30,TAMSALU,Estonia,Estonia,EST,Cross-Country Skiing,CCS,PORKUNI,Estonia,,../../../en/results/cross-country-skiing/athlete-profile-n1035377-martin-himma.htm
HINCKFUSS Hugo,HINCKFUSS H,Male,2003-03-06,BRISBANE,Australia,Australia,AUS,Cross-Country Skiing,CCS,CAMMERAY,Australia,,../../../en/results/cross-country-skiing/athlete-profile-n1100587-hugo-hinckfuss.htm
HINTERMANN Niels,HINTERMANN N,Male,1995-05-05,BULACH,Switzerland,Switzerland,SUI,Alpine Skiing,ALP,ZURICH,Switzerland,,../../../en/results/alpine-skiing/athlete-profile-n1048538-niels-hintermann.htm
HINZ Vanessa,HINZ V,Female,1992-03-24,MUNICH,Germany,Germany,GER,Biathlon,BTH,RUHPOLDING,Germany,,../../../en/results/biathlon/athlete-profile-n1012728-vanessa-hinz.htm
HIRANO Ayumu,HIRANO A,Male,1998-11-29,MURAKAMI,Japan,Japan,JPN,Snowboard,SBD,MURAKAMI,Japan,,../../../en/results/snowboard/athlete-profile-n1043821-ayumu-hirano.htm
HIRANO Kaishu,HIRANO K,Male,2002-10-14,MURAKAMI,Japan,Japan,JPN,Snowboard,SBD,MURAKAMI,Japan,,../../../en/results/snowboard/athlete-profile-n1043823-kaishu-hirano.htm
