location,event_stage,teamH,scoreTH,teamA,scoreTA,event_status,time,event_url,discipline_code,teamH_code,teamA_code,sex
National Aquatics Centre - Sheet A,Women's Round Robin Session 11,Republic of Korea,8,Denmark,7,Finished,2022-02-16T20:05:00+08:00,../../../en/results/curling/results-women-prel-001101-.htm,CUR,KOR,DEN,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 11,Japan,10,United States of America,7,Finished,2022-02-16T20:05:00+08:00,../../../en/results/curling/results-women-prel-001102-.htm,CUR,JPN,USA,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 11,ROC,5,Sweden,8,Finished,2022-02-16T20:05:00+08:00,../../../en/results/curling/results-women-prel-001103-.htm,CUR,ROC,SWE,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 11,Canada,9,People's Republic of China,11,Finished,2022-02-16T20:05:00+08:00,../../../en/results/curling/results-women-prel-001104-.htm,CUR,CAN,CHN,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 12,Denmark,5,United States of America,7,Finished,2022-02-17T09:05:00+08:00,../../../en/results/curling/results-men-prel-001201-.htm,CUR,DEN,USA,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 12,Sweden,8,Switzerland,10,Finished,2022-02-17T09:05:00+08:00,../../../en/results/curling/results-men-prel-001202-.htm,CUR,SWE,SUI,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 12,Canada,2,Great Britain,5,Finished,2022-02-17T09:05:00+08:00,../../../en/results/curling/results-men-prel-001203-.htm,CUR,CAN,GBR,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 12,Norway,9,Italy,4,Finished,2022-02-17T09:05:00+08:00,../../../en/results/curling/results-men-prel-001204-.htm,CUR,NOR,ITA,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 12,Japan,4,Switzerland,8,Finished,2022-02-17T14:05:00+08:00,../../../en/results/curling/results-women-prel-001201-.htm,CUR,JPN,SUI,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 12,ROC,4,Great Britain,9,Finished,2022-02-17T14:05:00+08:00,../../../en/results/curling/results-women-prel-001202-.htm,CUR,ROC,GBR,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 12,Denmark,4,Canada,10,Finished,2022-02-17T14:05:00+08:00,../../../en/results/curling/results-women-prel-001203-.htm,CUR,DEN,CAN,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 12,Republic of Korea,4,Sweden,8,Finished,2022-02-17T14:05:00+08:00,../../../en/results/curling/results-women-prel-001204-.htm,CUR,KOR,SWE,Women's
National Aquatics Centre - Sheet A,Men's Semi-final,Sweden,5,Canada,3,Finished,2022-02-17T20:05:00+08:00,../../../en/results/curling/results-men-sfnl-000102-.htm,CUR,SWE,CAN,Men's
National Aquatics Centre - Sheet C,Men's Semi-final,United States of America,4,Great Britain,8,Finished,2022-02-17T20:05:00+08:00,../../../en/results/curling/results-men-sfnl-000101-.htm,CUR,USA,GBR,Men's
National Aquatics Centre - Sheet B,Men's Bronze Medal Game,Canada,8,United States of America,5,Finished,2022-02-18T14:05:00+08:00,../../../en/results/curling/results-men-fnl-000201-.htm,CUR,CAN,USA,Men's
National Aquatics Centre - Sheet A,Women's Semi-final,Sweden,11,Great Britain,12,Finished,2022-02-18T20:05:00+08:00,../../../en/results/curling/results-women-sfnl-000102-.htm,CUR,SWE,GBR,Women's
National Aquatics Centre - Sheet C,Women's Semi-final,Japan,8,Switzerland,6,Finished,2022-02-18T20:05:00+08:00,../../../en/results/curling/results-women-sfnl-000101-.htm,CUR,JPN,SUI,Women's
National Aquatics Centre - Sheet B,Men's Gold Medal Game,Sweden,5,Great Britain,4,Finished,2022-02-19T14:50:00+08:00,../../../en/results/curling/results-men-fnl-000101-.htm,CUR,SWE,GBR,Men's
National Aquatics Centre - Sheet B,Women's Bronze Medal Game,Sweden,9,Switzerland,7,Finished,2022-02-19T20:05:00+08:00,../../../en/results/curling/results-women-fnl-000201-.htm,CUR,SWE,SUI,Women's
National Aquatics Centre - Sheet B,Women's Gold Medal Game,Japan,3,Great Britain,10,Finished,2022-02-20T09:05:00+08:00,../../../en/results/curling/results-women-fnl-000101-.htm,CUR,JPN,GBR,Women's
