No.,Name,Position,G,A,P,PIM,TS,+/-,TOT,SHF,AVG,Sh_Period_1,Time_On_Ice_Period_1,Sh_Period_2,Time_On_Ice_Period_2,Sh_Period_3,Time_On_Ice_Period_3,url_game,team,Sh_OverTime,Time_On_Ice_OverTime
39,SPIES CSPIES Caroline,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Switzerland,,
18,RAISANEN MRAISANEN Meeri,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
36,KEISALA AKEISALA Anni,GK,0.0,0.0,0.0,0.0,0.0,,59:16,,59:16,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
6,HIIRIKOSKI JHIIRIKOSKI Jenni,D,0.0,0.0,0.0,2.0,5.0,0.0,25:29,33.0,0:46,0.0,4:59,1.0,9:53,4.0,10:37,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
16,NIEMINEN PNIEMINEN Petra,F,0.0,0.0,0.0,0.0,4.0,0.0,18:57,29.0,0:39,2.0,3:46,2.0,6:28,0.0,8:43,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
33,KARVINEN MKARVINEN Michelle,F,0.0,0.0,0.0,0.0,3.0,0.0,19:33,28.0,0:41,1.0,2:55,1.0,6:47,1.0,9:51,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
77,TAPANI STAPANI Susanna,F,0.0,0.0,0.0,0.0,3.0,0.0,19:44,29.0,0:40,1.0,3:20,0.0,6:50,2.0,9:34,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
88,SAVOLAINEN RSAVOLAINEN Ronja,D,0.0,1.0,1.0,2.0,2.0,0.0,19:22,32.0,0:36,0.0,3:08,1.0,8:51,1.0,7:23,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
8,VIITASUO EVIITASUO Ella,D,0.0,0.0,0.0,0.0,2.0,0.0,7:20,13.0,0:33,1.0,2:38,1.0,2:34,0.0,2:08,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
10,HOLOPAINEN EHOLOPAINEN Elisa,F,1.0,0.0,1.0,2.0,2.0,0.0,12:20,22.0,0:33,0.0,2:59,1.0,4:10,1.0,5:11,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
15,TUOMINEN MTUOMINEN Minnamari,D,0.0,1.0,1.0,0.0,2.0,0.0,14:45,23.0,0:38,1.0,2:56,0.0,6:18,1.0,5:31,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
24,VAINIKKA VVAINIKKA Viivi,F,0.0,1.0,1.0,0.0,1.0,0.0,11:01,20.0,0:33,1.0,3:04,0.0,3:47,0.0,4:10,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
40,TULUS NTULUS Noora,F,0.0,1.0,1.0,0.0,3.0,0.0,14:46,29.0,0:30,1.0,3:36,1.0,6:05,1.0,5:05,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
7,RANTALA SRANTALA Sanni,D,0.0,0.0,0.0,0.0,0.0,0.0,10:13,15.0,0:40,0.0,4:03,0.0,2:18,0.0,3:52,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
9,LAITINEN NLAITINEN Nelli,D,1.0,0.0,1.0,2.0,4.0,0.0,17:52,31.0,0:34,1.0,4:20,3.0,6:28,0.0,7:04,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
23,HAKALA SHAKALA Sanni,F,0.0,0.0,0.0,0.0,2.0,0.0,6:40,14.0,0:28,1.0,1:53,0.0,2:37,1.0,2:10,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
34,SUNDELIN SSUNDELIN Sofianna,F,0.0,0.0,0.0,0.0,0.0,0.0,5:52,13.0,0:27,0.0,1:36,0.0,2:31,0.0,1:45,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
61,NISKANEN TNISKANEN Tanja,F,0.0,0.0,0.0,0.0,2.0,0.0,6:24,14.0,0:27,1.0,1:45,0.0,2:22,1.0,2:17,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
2,KARJALAINEN SKARJALAINEN Sini,D,0.0,0.0,0.0,2.0,0.0,0.0,8:22,14.0,0:35,0.0,2:19,0.0,3:14,0.0,2:49,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
12,VANHANEN SVANHANEN Sanni,F,0.0,0.0,0.0,0.0,1.0,0.0,8:33,11.0,0:46,0.0,2:21,1.0,3:04,0.0,3:08,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
27,LIIKALA JLIIKALA Julia,F,0.0,0.0,0.0,0.0,2.0,0.0,8:21,11.0,0:45,1.0,1:28,1.0,3:35,0.0,3:18,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
28,NYLUND JNYLUND Jenniina,F,0.0,0.0,0.0,0.0,2.0,0.0,9:38,13.0,0:44,1.0,1:33,1.0,4:09,0.0,3:56,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
32,VESA EVESA Emilia,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
1,MAKINEN EMAKINEN Eveliina,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpa-000800-.htm,Finland,,
33,CAVALLINI ACAVALLINI Alex,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
35,ROONEY MROONEY Maddie,GK,0.0,0.0,0.0,0.0,0.0,,57:23,,57:23,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
2,STECKLEIN LSTECKLEIN Lee,D,0.0,0.0,0.0,0.0,1.0,-1.0,19:29,27.0,0:43,1.0,8:18,0.0,4:19,0.0,6:52,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
3,BARNES CBARNES Cayla,D,0.0,1.0,1.0,0.0,7.0,1.0,24:45,30.0,0:49,2.0,8:54,3.0,7:44,2.0,8:07,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
20,BRANDT HBRANDT Hannah,F,0.0,0.0,0.0,0.0,1.0,0.0,21:11,23.0,0:55,0.0,6:13,0.0,7:48,1.0,7:10,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
21,KNIGHT HKNIGHT Hilary,F,0.0,0.0,0.0,0.0,4.0,0.0,20:58,22.0,0:57,1.0,5:17,1.0,9:01,2.0,6:40,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
26,COYNE SCHOFIELD KCOYNE SCHOFIELD Kendall,F,0.0,0.0,0.0,0.0,2.0,0.0,21:26,23.0,0:55,1.0,5:43,0.0,8:15,1.0,7:28,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
5,KELLER MKELLER Megan,D,0.0,1.0,1.0,0.0,0.0,0.0,28:08,29.0,0:58,0.0,8:49,0.0,9:39,0.0,9:40,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
11,ROQUE AROQUE Abby,F,0.0,0.0,0.0,0.0,6.0,0.0,17:18,22.0,0:47,4.0,4:55,1.0,4:54,1.0,7:29,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
15,HARMON SHARMON Savannah,D,0.0,0.0,0.0,0.0,1.0,0.0,24:38,25.0,0:59,0.0,6:15,0.0,9:12,1.0,9:11,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
25,CARPENTER ACARPENTER Alex,F,1.0,0.0,1.0,0.0,8.0,0.0,17:04,22.0,0:46,1.0,5:02,4.0,4:49,3.0,7:13,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
28,KESSEL AKESSEL Amanda,F,0.0,1.0,1.0,0.0,2.0,0.0,15:55,22.0,0:43,1.0,5:01,0.0,4:02,1.0,6:52,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
9,BOZEK MBOZEK Megan,D,0.0,0.0,0.0,0.0,1.0,-2.0,11:33,19.0,0:36,0.0,4:36,0.0,2:21,1.0,4:36,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
12,PANNEK KPANNEK Kelly,F,0.0,1.0,1.0,0.0,4.0,-1.0,13:03,18.0,0:43,2.0,5:06,2.0,3:47,0.0,4:10,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
13,ZUMWINKLE GZUMWINKLE Grace,F,0.0,0.0,0.0,0.0,3.0,-1.0,10:23,14.0,0:44,1.0,4:09,0.0,3:16,2.0,2:58,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
19,DUNNE JDUNNE Jincy,D,0.0,0.0,0.0,0.0,2.0,0.0,6:52,9.0,0:45,0.0,0:46,2.0,5:40,0.0,0:26,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
24,CAMERANESI DCAMERANESI Dani,F,1.0,0.0,1.0,0.0,6.0,-1.0,13:43,15.0,0:54,1.0,4:42,3.0,3:11,2.0,5:50,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
4,HARVEY CHARVEY Caroline,D,0.0,0.0,0.0,2.0,0.0,0.0,0:44,1.0,0:44,0.0,0:44,0.0,0:00,0.0,0:00,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
16,SCAMURRA HSCAMURRA Hayley,F,0.0,0.0,0.0,0.0,2.0,0.0,10:36,14.0,0:45,0.0,4:26,0.0,3:43,2.0,2:27,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
18,COMPHER JCOMPHER Jesse,F,0.0,0.0,0.0,0.0,1.0,0.0,10:58,14.0,0:47,0.0,4:16,0.0,4:14,1.0,2:28,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
37,MURPHY AMURPHY Abbey,F,0.0,0.0,0.0,0.0,2.0,0.0,11:28,15.0,0:45,1.0,5:21,0.0,3:35,1.0,2:32,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
14,DECKER BDECKER Brianna,F,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
29,HENSLEY NHENSLEY Nicole,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,United States,,
38,MASCHMEYER EMASCHMEYER Emerance,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
35,DESBIENS ARDESBIENS Ann-Renee,GK,0.0,0.0,0.0,0.0,0.0,,60:00,,60:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
3,LAROCQUE JLAROCQUE Jocelyne,D,0.0,0.0,0.0,2.0,3.0,0.0,26:01,40.0,0:39,2.0,9:27,1.0,9:07,0.0,7:27,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
14,FAST RFAST Renata,D,0.0,0.0,0.0,0.0,0.0,1.0,29:19,44.0,0:39,0.0,10:13,0.0,9:14,0.0,9:52,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
19,JENNER BJENNER Brianne,F,2.0,0.0,2.0,0.0,2.0,1.0,19:39,38.0,0:31,1.0,6:57,1.0,6:03,0.0,6:39,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
20,NURSE SNURSE Sarah,F,0.0,1.0,1.0,0.0,2.0,1.0,17:46,34.0,0:31,1.0,5:50,0.0,6:10,1.0,5:46,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
29,POULIN MPPOULIN Marie-Philip,F,1.0,1.0,2.0,0.0,5.0,1.0,19:30,40.0,0:29,0.0,7:13,5.0,6:05,0.0,6:12,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
10,FILLIER SFILLIER Sarah,F,0.0,1.0,1.0,0.0,1.0,0.0,13:02,24.0,0:32,0.0,4:53,1.0,4:08,0.0,4:01,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
23,AMBROSE EAMBROSE Erin,D,0.0,0.0,0.0,0.0,1.0,0.0,18:12,34.0,0:32,0.0,5:20,0.0,4:33,1.0,8:19,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
24,SPOONER NSPOONER Natalie,F,0.0,1.0,1.0,0.0,2.0,0.0,11:05,23.0,0:28,0.0,3:41,1.0,3:13,1.0,4:11,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
42,THOMPSON CTHOMPSON Claire,D,0.0,0.0,0.0,2.0,3.0,0.0,15:09,29.0,0:31,0.0,3:42,1.0,6:48,2.0,4:39,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
47,RATTRAY JLRATTRAY Jamie Lee,F,1.0,0.0,1.0,0.0,5.0,0.0,12:51,25.0,0:30,0.0,4:56,5.0,3:49,0.0,4:06,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
6,JOHNSTON RJOHNSTON Rebecca,F,0.0,0.0,0.0,2.0,1.0,0.0,16:20,29.0,0:33,1.0,6:38,0.0,5:10,0.0,4:32,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
21,BELL ABELL Ashton,D,0.0,0.0,0.0,0.0,0.0,0.0,12:02,21.0,0:34,0.0,4:00,0.0,4:10,0.0,3:52,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
26,CLARK ECLARK Emily,F,0.0,0.0,0.0,2.0,0.0,0.0,19:39,34.0,0:34,0.0,5:09,0.0,7:38,0.0,6:52,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
28,ZANDEE-HART MZANDEE-HART Micah,D,0.0,1.0,1.0,0.0,0.0,0.0,17:00,28.0,0:36,0.0,5:05,0.0,6:13,0.0,5:42,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
40,TURNBULL BTURNBULL Blayre,F,0.0,0.0,0.0,2.0,1.0,0.0,21:45,37.0,0:35,0.0,7:36,0.0,7:36,1.0,6:33,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
7,STACEY LSTACEY Laura,F,0.0,0.0,0.0,2.0,0.0,0.0,4:53,10.0,0:29,0.0,1:46,0.0,1:25,0.0,1:42,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
11,SAULNIER JSAULNIER Jill,F,0.0,0.0,0.0,0.0,0.0,0.0,3:49,5.0,0:45,0.0,2:44,0.0,0:00,0.0,1:05,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
17,SHELTON ESHELTON Ella,D,0.0,0.0,0.0,0.0,1.0,1.0,2:07,4.0,0:31,0.0,1:28,1.0,0:39,0.0,0:00,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
27,MALTAIS EMALTAIS Emma,F,0.0,0.0,0.0,0.0,0.0,0.0,6:26,8.0,0:48,0.0,0:58,0.0,1:46,0.0,3:42,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
15,DAOUST MDAOUST Melodie,F,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
50,CAMPBELL KCAMPBELL Kristen,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpa-000900-.htm,Canada,,
30,KONISHI AKONISHI Akane,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,
1,FUJIMOTO NFUJIMOTO Nana,GK,0.0,0.0,0.0,0.0,0.0,,65:00,,65:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,
3,SHIGA ASHIGA Aoi,D,0.0,1.0,1.0,0.0,3.0,0.0,30:09,37.0,0:48,2.0,9:10,1.0,9:48,0.0,10:44,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:27
4,TOKO ATOKO Ayaka,D,0.0,2.0,2.0,2.0,0.0,0.0,34:06,38.0,0:53,0.0,9:03,0.0,12:29,0.0,10:12,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,2:22
14,TOKO HTOKO Haruka,F,2.0,0.0,2.0,0.0,5.0,0.0,26:34,31.0,0:51,2.0,7:56,0.0,8:13,3.0,8:06,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,2:19
15,UKITA RUKITA Rui,F,0.0,0.0,0.0,0.0,0.0,0.0,26:28,30.0,0:52,0.0,7:58,0.0,6:45,0.0,9:29,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,2:16
16,SHIGA ASHIGA Akane,F,0.0,0.0,0.0,0.0,4.0,0.0,26:06,31.0,0:50,2.0,8:09,2.0,9:47,0.0,6:44,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,1:26
2,KOIKE SKOIKE Shiori,D,0.0,0.0,0.0,0.0,1.0,-1.0,22:36,32.0,0:42,0.0,6:15,0.0,6:07,0.0,9:25,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,1.0,0:49
8,HOSOYAMADA AHOSOYAMADA Akane,D,0.0,0.0,0.0,0.0,2.0,-1.0,23:48,30.0,0:47,1.0,5:09,0.0,8:54,0.0,8:29,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,1.0,1:16
10,YONEYAMA HYONEYAMA Haruna,F,0.0,0.0,0.0,0.0,1.0,0.0,20:38,28.0,0:44,1.0,5:39,0.0,7:25,0.0,6:10,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,1:24
21,KUBO HKUBO Hanae,F,0.0,1.0,1.0,2.0,2.0,0.0,13:02,17.0,0:46,0.0,4:26,2.0,4:37,0.0,3:59,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:00
23,YAMASHITA HYAMASHITA Hikaru,F,0.0,0.0,0.0,0.0,1.0,0.0,16:17,22.0,0:44,0.0,4:35,1.0,6:05,0.0,5:37,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:00
6,SUZUKI SSUZUKI Sena,D,0.0,0.0,0.0,0.0,0.0,-1.0,6:27,9.0,0:43,0.0,5:04,0.0,1:15,0.0,0:08,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:00
7,KAWASHIMA YKAWASHIMA Yukiko,D,0.0,0.0,0.0,0.0,0.0,-1.0,6:21,10.0,0:38,0.0,4:43,0.0,1:07,0.0,0:31,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:00
12,OSAWA COSAWA Chiho,F,0.0,0.0,0.0,2.0,1.0,-2.0,18:13,23.0,0:47,0.0,6:08,0.0,4:49,1.0,6:02,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,1:14
18,TAKA STAKA Suzuka,F,0.0,0.0,0.0,0.0,3.0,-2.0,17:24,23.0,0:45,2.0,6:02,0.0,4:37,1.0,5:33,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,1:12
27,KOYAMA RKOYAMA Remi,F,0.0,0.0,0.0,0.0,0.0,-2.0,12:23,17.0,0:43,0.0,5:32,0.0,3:23,0.0,3:28,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:00
11,MIURA MMIURA Mei,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:00
13,FUJIMOTO MFUJIMOTO Moeko,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:00
19,OTAKI COTAKI Chika,F,0.0,0.0,0.0,0.0,1.0,0.0,5:20,7.0,0:45,0.0,0:51,1.0,2:11,0.0,2:18,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:00
22,SHISHIUCHI MSHISHIUCHI Miho,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:00
28,YAMASHITA SYAMASHITA Shiori,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,0.0,0:00
20,MASUHARA MMASUHARA Miyuu,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Japan,,
1,SVEJDOVA VSVEJDOVA Viktorie,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,
29,PESLAROVA KPESLAROVA Klara,GK,0.0,0.0,0.0,0.0,0.0,,65:00,,65:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,
2,TEJRALOVA ATEJRALOVA Aneta,D,0.0,0.0,0.0,2.0,3.0,0.0,24:02,26.0,0:55,0.0,7:43,0.0,6:55,1.0,7:23,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,2.0,2:01
9,MILLS AMILLS Alena,F,0.0,0.0,0.0,0.0,1.0,0.0,14:42,18.0,0:49,0.0,5:54,0.0,3:51,0.0,4:06,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,1.0,0:51
12,HYMLAROVA KHYMLAROVA Klara,F,0.0,0.0,0.0,0.0,1.0,0.0,3:53,5.0,0:46,1.0,3:53,0.0,0:00,0.0,0:00,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:00
17,HORALKOVA PHORALKOVA Pavlina,D,0.0,0.0,0.0,0.0,4.0,0.0,20:07,24.0,0:50,2.0,7:33,0.0,6:55,2.0,5:39,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:00
26,PRIBYLOVA VPRIBYLOVA Vendula,F,0.0,0.0,0.0,0.0,1.0,0.0,14:24,17.0,0:50,0.0,4:44,0.0,3:50,1.0,5:14,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:36
5,KOLOWRATOVA SAKOLOWRATOVA Samantha Ahn,D,0.0,0.0,0.0,0.0,0.0,0.0,9:44,14.0,0:41,0.0,3:16,0.0,3:29,0.0,2:59,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:00
16,MRAZOVA KMRAZOVA Katerina,F,0.0,0.0,0.0,2.0,2.0,2.0,19:43,25.0,0:47,0.0,4:04,1.0,5:45,0.0,7:58,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,1.0,1:56
19,MLYNKOVA NMLYNKOVA Natalie,F,1.0,0.0,1.0,0.0,2.0,1.0,20:45,24.0,0:51,0.0,5:02,0.0,6:11,2.0,7:27,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,2:05
24,CAJANOVA SCAJANOVA Sara,D,0.0,0.0,0.0,0.0,4.0,1.0,20:52,23.0,0:54,0.0,5:26,1.0,7:27,2.0,6:34,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,1.0,1:25
28,NEUBAUEROVA NNEUBAUEROVA Noemi,F,0.0,0.0,0.0,2.0,2.0,1.0,13:57,19.0,0:44,1.0,4:21,1.0,3:40,0.0,5:24,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:32
4,PEJSOVA DPEJSOVA Daniela,D,0.0,0.0,0.0,0.0,1.0,1.0,18:17,21.0,0:52,0.0,6:31,1.0,5:22,0.0,5:30,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:54
10,KRIZOVA DKRIZOVA Denisa,F,1.0,0.0,1.0,0.0,6.0,1.0,21:03,24.0,0:52,1.0,5:23,2.0,6:16,3.0,7:46,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,1:38
14,LASKOVA DLASKOVA Dominika,D,0.0,0.0,0.0,2.0,2.0,1.0,19:45,24.0,0:49,1.0,6:38,1.0,5:53,0.0,6:45,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:29
18,PEJZLOVA MPEJZLOVA Michaela,F,0.0,0.0,0.0,0.0,0.0,1.0,16:36,19.0,0:52,0.0,4:38,0.0,5:59,0.0,5:27,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:32
21,VANISOVA TVANISOVA Tereza,F,0.0,1.0,1.0,2.0,2.0,1.0,23:55,25.0,0:57,0.0,5:40,1.0,7:18,1.0,9:12,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,1:45
7,SERDAR LSERDAR Lenka,F,0.0,0.0,0.0,0.0,3.0,0.0,8:34,11.0,0:46,3.0,4:52,0.0,2:38,0.0,1:04,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:00
15,LEDLOVA ALEDLOVA Aneta,F,0.0,0.0,0.0,0.0,2.0,0.0,8:30,11.0,0:46,2.0,4:15,0.0,3:03,0.0,1:12,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:00
23,BUKOLSKA KBUKOLSKA Katerina,F,0.0,0.0,0.0,0.0,1.0,0.0,9:42,11.0,0:52,1.0,4:37,0.0,3:42,0.0,1:23,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:00
25,PATKOVA KPATKOVA Kristyna,F,0.0,0.0,0.0,0.0,0.0,0.0,7:42,8.0,0:57,0.0,1:33,0.0,3:43,0.0,2:26,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:00
27,RADOVA TRADOVA Tereza,D,0.0,0.0,0.0,0.0,1.0,0.0,7:13,11.0,0:39,0.0,2:18,1.0,2:42,0.0,2:13,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,0.0,0:00
30,ZECHOVSKA KZECHOVSKA Katerina,GK,,,,,,,,,,,,,,,,../../../en/results/ice-hockey/results-women-gpb-000900-.htm,Czech Republic,,
35,BOMAN IBOMAN Ida,GK,0.0,0.0,0.0,0.0,0.0,,0:00,,0:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-001000-.htm,Sweden,,
30,SODERBERG ESODERBERG Emma,GK,0.0,0.0,0.0,0.0,0.0,,60:00,,60:00,0.0,,0.0,,0.0,,../../../en/results/ice-hockey/results-women-gpb-001000-.htm,Sweden,,
10,WAXIN MWAXIN Mina,D,0.0,1.0,1.0,2.0,0.0,1.0,20:27,32.0,0:38,0.0,6:29,0.0,6:31,0.0,7:27,../../../en/results/ice-hockey/results-women-gpb-001000-.htm,Sweden,,
11,BOUVENG JBOUVENG Josefin,F,0.0,0.0,0.0,0.0,3.0,0.0,14:19,22.0,0:39,0.0,3:20,1.0,5:38,2.0,5:21,../../../en/results/ice-hockey/results-women-gpb-001000-.htm,Sweden,,
